id,edge1_id,edge2_id,node1_id,node2_id,capacity(millisat)
0,0,1,2722,7252,6789000
1,2,3,7252,10582,63236000
2,4,5,6334,10832,1100000
3,6,7,435,7252,10000000
4,8,9,5668,6334,189822000
5,10,11,7252,9304,50000000
6,12,13,6334,11398,280000000
7,14,15,1564,7252,36607000
8,16,17,521,6772,132552000
9,18,19,521,8777,200000000
10,20,21,521,4217,174997000
11,22,23,521,4551,183491000
12,24,25,521,7263,126191000
13,26,27,1456,7635,60000000
14,28,29,6772,7252,40000000
15,30,31,521,6665,480000000
16,32,33,521,6446,176716000
17,34,35,521,3721,253437000
18,36,37,1456,7454,250000000
19,38,39,521,4551,200000000
20,40,41,1456,7454,100000000
21,42,43,426,521,24089000
22,44,45,376,521,175364000
23,46,47,521,11163,852625000
24,48,49,7252,10254,50000000
25,50,51,4551,7252,495000000
26,52,53,1672,1824,500000000
27,54,55,521,10830,300000000
28,56,57,1824,10830,400000000
29,58,59,1824,8987,102000000
30,60,61,521,11026,239757000
31,62,63,10132,10582,495000000
32,64,65,1824,5314,305558000
33,66,67,1456,11518,200000000
34,68,69,1824,7939,2000000000
35,70,71,1824,9852,25000000
36,72,73,1824,10228,100000000
37,74,75,521,7706,44499000
38,76,77,521,3902,20000000
39,78,79,521,2384,500000000
40,80,81,521,793,1200000000
41,82,83,43,1456,500000000
42,84,85,888,1824,300000000
43,86,87,1824,9484,300000000
44,88,89,1824,2906,200000000
45,90,91,1456,7416,48000000
46,92,93,6065,7252,85959000
47,94,95,521,6305,76724000
48,96,97,521,6065,23402000
49,98,99,847,1456,20000000
50,100,101,1824,10349,200000000
51,102,103,1824,4181,45436000
52,104,105,1824,11518,200000000
53,106,107,521,5658,20000000
54,108,109,521,5577,50000000
55,110,111,1824,8241,400000000
56,112,113,521,8241,400000000
57,114,115,1456,4768,500000000
58,116,117,1125,1824,100000000
59,118,119,521,8194,20000000
60,120,121,1824,8194,200000000
61,122,123,1456,8194,20000000
62,124,125,10132,10261,500000000
63,126,127,1824,3831,631502000
64,128,129,1824,11518,200000000
65,130,131,7252,11518,198000000
66,132,133,521,6506,150000000
67,134,135,521,10659,20000000
68,136,137,1456,7454,1000000000
69,138,139,2265,2384,1000000000
70,140,141,1456,7190,500000000
71,142,143,3528,9340,170389000
72,144,145,521,7687,287341000
73,146,147,521,7322,20000000
74,148,149,521,7162,262786000
75,150,151,521,7322,257648000
76,152,153,5366,8074,23261000
77,154,155,521,7929,104640000
78,156,157,521,11518,200000000
79,158,159,7252,11518,198000000
80,160,161,521,2245,233758000
81,162,163,4568,7252,123321000
82,164,165,1824,9866,125000000
83,166,167,521,2551,20000000
84,168,169,521,2219,300000000
85,170,171,521,649,282939000
86,172,173,521,9050,250000000
87,174,175,521,10335,263464000
88,176,177,1456,4768,250000000
89,178,179,521,4768,250000000
90,180,181,1456,4768,250000000
91,182,183,1824,4768,250000000
92,184,185,521,4581,50000000
93,186,187,1824,3523,742500000
94,188,189,521,3577,100000000
95,190,191,1824,11398,200000000
96,192,193,1456,4468,30000000
97,194,195,1647,6361,700000000
98,196,197,521,11082,100000000
99,198,199,521,8328,304586000
100,200,201,521,8328,266551000
101,202,203,1456,7690,1000000000
102,204,205,1824,9917,307538000
103,206,207,1824,6932,263836000
104,208,209,730,1824,206596000
105,210,211,521,3831,202759000
106,212,213,1456,7565,200000000
107,214,215,521,10565,247844000
108,216,217,649,1456,100000000
109,218,219,521,3955,20000000
110,220,221,1456,11132,2000000000
111,222,223,228,521,283698000
112,224,225,521,8297,40806000
113,226,227,1824,4460,247500000
114,228,229,1316,1824,110049000
115,230,231,1456,3348,250000000
116,232,233,1456,9969,200000000
117,234,235,521,11033,224897000
118,236,237,521,4528,40000000
119,238,239,521,8848,20000000
120,240,241,1456,6123,200000000
121,242,243,1824,4528,200000000
122,244,245,1824,3712,444985000
123,246,247,1824,4231,58212000
124,248,249,1456,1555,320000000
125,250,251,521,555,500000000
126,252,253,1824,4886,4950000000
127,254,255,1456,8851,35966000
128,256,257,4887,7252,16600614000
129,258,259,1456,2357,901558000
130,260,261,1456,4460,200000000
131,262,263,521,10681,100000000
132,264,265,4460,7252,495000000
133,266,267,521,2136,200000000
134,268,269,521,5220,100000000
135,270,271,4460,5095,247500000
136,272,273,3848,7252,396000000
137,274,275,1824,7584,79986000
138,276,277,3528,6417,990000000
139,278,279,521,8677,1000000000
140,280,281,1824,6784,247500000
141,282,283,1824,1985,1485000000
142,284,285,1824,3231,297000000
143,286,287,1824,6417,315909000
144,288,289,1824,11216,990000000
145,290,291,1824,10467,99000000
146,292,293,521,10253,20000000
147,294,295,1824,9699,99000000
148,296,297,1067,3740,49454000
149,298,299,1795,1824,99000000
150,300,301,1824,7058,198000000
151,302,303,1824,2008,990000000
152,304,305,521,4586,326215000
153,306,307,1801,10151,100000000
154,308,309,1824,2524,99000000
155,310,311,521,9624,303458000
156,312,313,1824,2409,2970000000
157,314,315,521,9971,402956000
158,316,317,1824,11242,1386000000
159,318,319,521,1754,465665000
160,320,321,6669,8220,99000000
161,322,323,521,6831,408213000
162,324,325,1824,4638,80229000
163,326,327,521,5030,363544000
