id,edge1_id,edge2_id,node1_id,node2_id,capacity(millisat)
0,0,1,158,1027,278610000
1,2,3,265,1027,5940000000
2,4,5,602,1027,1188000000
3,6,7,366,1027,198000000
4,8,9,75,1027,178282000
5,10,11,151,1027,2105652000
6,12,13,492,1027,400000000
7,14,15,613,1027,1980000000
8,16,17,1027,1054,198000000
9,18,19,1027,1226,33554430000
10,20,21,360,510,1896856000
11,22,23,105,360,3999600000
12,24,25,360,861,1896856000
13,26,27,360,1352,2840500000
14,28,29,238,974,10000000
15,30,31,75,866,10000000
16,32,33,52,866,10000000
17,34,35,75,1037,392000000
18,36,37,162,405,10000000
19,38,39,162,926,10000000
20,40,41,162,753,10000000
21,42,43,452,1103,990000000
22,44,45,289,568,10000000
23,46,47,568,833,10000000
24,48,49,399,463,10000000
25,50,51,112,1134,10000000
26,52,53,697,1226,120000000
27,54,55,280,369,5000000000
28,56,57,126,576,1476256000
29,58,59,744,1190,10000000
30,60,61,104,829,33554430000
31,62,63,829,1145,198000000
32,64,65,653,829,33554430000
33,66,67,707,829,20573312000
34,68,69,152,829,5940000000
35,70,71,93,829,33554430000
36,72,73,149,244,403920000
37,74,75,278,292,980000000
38,76,77,292,604,254800000
39,78,79,292,1252,57816000
40,80,81,292,467,57816000
41,82,83,292,1091,8589934590
42,84,85,292,342,8589934590
43,86,87,292,366,196000000
44,88,89,292,708,373202000
45,90,91,292,492,196000000
46,92,93,2,1252,2032884000
47,94,95,244,269,95012000
48,96,97,28,1218,10000000
49,98,99,28,1039,10000000
50,100,101,111,838,634028000
51,102,103,342,407,1500000000
52,104,105,931,1252,10000000
53,106,107,130,710,10000000
54,108,109,461,492,10000000
55,110,111,335,461,10000000
56,112,113,461,747,10000000
57,114,115,461,795,10000000
58,116,117,461,510,10000000
59,118,119,461,628,10000000
60,120,121,461,1133,10000000
61,122,123,366,461,10000000
62,124,125,244,461,10000000
63,126,127,43,461,10000000
64,128,129,461,849,10000000
65,130,131,75,788,10000000
66,132,133,788,1226,10000000
67,134,135,170,1035,97816000
68,136,137,198,580,10000000
69,138,139,57,1249,10000000
70,140,141,309,731,10000000
71,142,143,506,1313,196000000
72,144,145,93,1317,495000000
73,146,147,324,603,10000000
74,148,149,603,1222,10000000
75,150,151,603,739,10000000
76,152,153,229,603,10000000
77,154,155,85,1191,10000000
78,156,157,85,714,10000000
79,158,159,85,1107,10000000
80,160,161,85,1103,10000000
81,162,163,85,366,10000000
82,164,165,829,1209,10000000
83,166,167,1103,1209,10000000
84,168,169,1091,1209,10000000
85,170,171,131,1209,10000000
86,172,173,252,1209,10000000
87,174,175,540,1209,10000000
