id,channel_id,counter_edge_id,from_node_id,to_node_id,balance(millisat),fee_base(millisat),fee_proportional,min_htlc(millisat),timelock
0,0,1,158,1027,100000,1000,1,1000,144
1,0,0,1027,158,139305000,1000,1,1000,144
2,1,3,265,1027,100000,1000,1,1000,144
3,1,2,1027,265,2970000000,1000,1,1000,144
4,2,5,602,1027,100000,1000,1,1000,144
5,2,4,1027,602,594000000,1000,1,1000,144
6,3,7,366,1027,100000,1000,1,1000,144
7,3,6,1027,366,99000000,1000,1,1000,144
8,4,9,75,1027,100000,1000,1,1000,144
9,4,8,1027,75,89141000,1000,1,1000,144
10,5,11,151,1027,100000,1000,1,1000,144
11,5,10,1027,151,1052826000,1000,1,1000,144
12,6,13,492,1027,100000,1000,1,1000,144
13,6,12,1027,492,200000000,1000,1,1000,144
14,7,15,613,1027,100000,1000,1,1000,144
15,7,14,1027,613,990000000,1000,1,1000,144
16,8,17,1027,1054,99000000,1000,1,1000,144
17,8,16,1054,1027,100000,1000,1,1000,144
18,9,19,1027,1226,16777215000,1000,1,1000,144
19,9,18,1226,1027,100000,1000,1,1000,144
20,10,21,360,510,948428000,1000,1,1000,144
21,10,20,510,360,100000,1000,1,1000,144
22,11,23,105,360,100000,1000,1,1,144
23,11,22,360,105,1999800000,1000,1,1,144
24,12,25,360,861,948428000,1000,1,1000,144
25,12,24,861,360,100000,1000,1,1000,144
26,13,27,360,1352,1420250000,1000,1,1000,144
27,13,26,1352,360,100000,1000,1,1000,144
28,14,29,238,974,5000000,145,17,21042,37
29,14,28,974,238,100000,145,17,21042,37
30,15,31,75,866,100000,1000,10,1000,14
31,15,30,866,75,5000000,1000,10,1000,14
32,16,33,52,866,100000,1000,10,1000,14
33,16,32,866,52,5000000,1000,10,1000,14
34,17,35,75,1037,100000,990,9,1000,14
35,17,34,1037,75,196000000,990,9,1000,14
36,18,37,162,405,5000000,1000,1,1000,144
37,18,36,405,162,100000,1000,1,1000,144
38,19,39,162,926,5000000,1000,1,1000,144
39,19,38,926,162,100000,1000,1,1000,144
40,20,41,162,753,5000000,1000,1,1000,144
41,20,40,753,162,100000,1000,1,1000,144
42,21,43,452,1103,495000000,1000,1,1000,144
43,21,42,1103,452,495000000,1000,30,1000,144
44,22,45,289,568,5000000,1000,1,1000,144
45,22,44,568,289,5000000,1000,1,1000,144
46,23,47,568,833,5000000,1000,1,1000,144
47,23,46,833,568,100000,1000,1,1000,144
48,24,49,399,463,100000,1000,10,10,14
49,24,48,463,399,5000000,1000,10,10,14
50,25,51,112,1134,5000000,1000,1,1000,144
51,25,50,1134,112,5000000,1000,1,1000,144
52,26,53,697,1226,60000000,1000,100,1000,144
53,26,52,1226,697,100000,1000,100,1000,144
54,27,55,280,369,2500000000,1000,100,1000,144
55,27,54,369,280,100000,1000,100,1000,144
56,28,57,126,576,738128000,1000,10,1000,14
57,28,56,576,126,100000,1000,10,1000,14
58,29,59,744,1190,5000000,1000,1,1000,144
59,29,58,1190,744,100000,1000,1,1000,144
60,30,61,104,829,16777215000,1000,1,1000,144
61,30,60,829,104,16777215000,1000,1,1000,144
62,31,63,829,1145,99000000,1000,1,1000,144
63,31,62,1145,829,100000,1000,1,1000,144
64,32,65,653,829,100000,1000,1,1000,144
65,32,64,829,653,16777215000,1000,1,1000,144
66,33,67,707,829,100000,1000,1,1000,144
67,33,66,829,707,10286656000,1000,1,1000,144
68,34,69,152,829,100000,1000,1,1000,144
69,34,68,829,152,2970000000,1000,1,1000,144
70,35,71,93,829,100000,1000,1,1000,144
71,35,70,829,93,16777215000,1000,1,1000,144
72,36,73,149,244,201960000,1000,1,1,144
73,36,72,244,149,100000,1000,1,1,144
74,37,75,278,292,100000,1000,10,1000,14
75,37,74,292,278,490000000,1000,10,1000,14
76,38,77,292,604,127400000,1000,10,1000,14
77,38,76,604,292,100000,1000,10,1000,14
78,39,79,292,1252,28908000,1000,10,1000,14
79,39,78,1252,292,100000,1000,10,1000,14
80,40,81,292,467,28908000,1000,10,1000,14
81,40,80,467,292,100000,1000,10,1000,14
82,41,83,292,1091,4294967295,1000,10,1000,14
83,41,82,1091,292,100000,1000,10,1000,14
84,42,85,292,342,4294967295,1000,10,1000,14
85,42,84,342,292,100000,1000,10,1000,14
86,43,87,292,366,98000000,1000,10,1000,14
87,43,86,366,292,100000,1000,10,1000,14
88,44,89,292,708,186601000,1000,10,1000,14
89,44,88,708,292,100000,1000,10,1000,14
90,45,91,292,492,98000000,1000,10,1000,14
91,45,90,492,292,100000,1000,10,1000,14
92,46,93,2,1252,1016442000,1000,10,1000,14
93,46,92,1252,2,100000,1000,10,1000,14
94,47,95,244,269,100000,1000,1,1,144
95,47,94,269,244,47506000,1000,1,1,144
96,48,97,28,1218,5000000,1000,10,1000,14
97,48,96,1218,28,100000,1000,10,1000,14
98,49,99,28,1039,5000000,1000,10,1000,14
99,49,98,1039,28,100000,1000,10,1000,14
100,50,101,111,838,317014000,1000,1,1000,144
101,50,100,838,111,317014000,1000,1,1000,144
102,51,103,342,407,750000000,1000,1000,1000,144
103,51,102,407,342,750000000,1000,1,1000,144
104,52,105,931,1252,5000000,1000,1,1000,144
105,52,104,1252,931,100000,1000,1,1000,144
106,53,107,130,710,100000,1000,1,1000,144
107,53,106,710,130,5000000,1000,1,1000,144
108,54,109,461,492,5000000,1000,1,1000,144
109,54,108,492,461,100000,1000,1,1000,144
110,55,111,335,461,100000,1000,1,1000,144
111,55,110,461,335,5000000,1000,1,1000,144
112,56,113,461,747,5000000,1000,1,1000,144
