id,channel_id,counter_edge_id,from_node_id,to_node_id,balance(millisat),fee_base(millisat),fee_proportional,min_htlc(millisat),timelock
0,0,1,4653,4759,495000000,1000,4000,1000,30
1,0,0,4759,4653,495000000,1000,10,1,14
2,1,3,4116,4759,1142757000,1000,1,1000,40
3,1,2,4759,4116,1142757000,1000,10,1000,14
4,2,5,988,4121,5000000,976,19,98768,279
5,2,4,4121,988,100000,976,19,98768,279
6,3,7,3117,5754,990000000,2000,100,1000,200
7,3,6,5754,3117,990000000,1000,1,1000,40
8,4,9,4492,5754,36621000,1000,1,1000,40
9,4,8,5754,4492,36621000,1000,1,1000,40
10,5,11,428,5754,50000000,1000,100,1000,144
11,5,10,5754,428,50000000,1000,1,1,40
12,6,13,295,5754,952777000,1000,1,1000,40
13,6,12,5754,295,952777000,1000,1,1000,40
14,7,15,295,4167,297000000,1000,1,1000,144
15,7,14,4167,295,297000000,500,13,1000,40
16,8,17,4167,4643,346500000,500,13,1000,40
17,8,16,4643,4167,346500000,1000,1,1000,144
18,9,19,1094,4167,321360000,1000,1,1000,40
19,9,18,4167,1094,321360000,1000,1,1000,40
20,10,21,803,4167,934450000,1000,1,1000,144
21,10,20,4167,803,934450000,500,13,1000,40
22,11,23,3562,4167,495000000,1000,1,1000,144
23,11,22,4167,3562,495000000,500,13,1000,40
24,12,25,4167,5213,767448000,500,13,1000,40
25,12,24,5213,4167,100000,500,13,1000,40
26,13,27,3343,4167,1485000000,500,10,1000,30
27,13,26,4167,3343,1485000000,500,13,1,40
28,14,29,1462,4167,198000000,250,100,1000,144
29,14,28,4167,1462,198000000,500,13,1000,40
30,15,31,1908,4167,1980000000,100,1,1000,420
31,15,30,4167,1908,1980000000,500,13,1000,40
32,16,33,1414,4167,693000000,1000,1000,1000,144
33,16,32,4167,1414,693000000,500,13,1000,40
34,17,35,2539,4167,841500000,1000,1,1000,144
35,17,34,4167,2539,841500000,500,13,1000,40
36,18,37,4942,5076,1840415000,1000,1,1000,40
37,18,36,5076,4942,1840415000,1000,1,1,40
38,19,39,526,4942,451977000,1000,4000,1000,30
39,19,38,4942,526,451977000,1000,1,1000,40
40,20,41,145,2508,1500000000,1000,1,1000,144
41,20,40,2508,145,100000,1000,1,1000,144
42,21,43,145,2534,148500000,1000,1,1000,40
43,21,42,2534,145,148500000,1000,1,1000,40
44,22,45,145,295,270418000,1000,1,1000,40
45,22,44,295,145,270418000,1000,1,1000,40
46,23,47,145,4148,500000000,1000,1,1000,144
47,23,46,4148,145,500000000,1000,1,1000,144
48,24,49,145,1801,87340000,1000,1,1000,144
49,24,48,1801,145,87340000,800,1,1000,144
50,25,51,145,781,27529000,1000,1,1000,144
51,25,50,781,145,100000,1000,1,1000,144
52,26,53,4153,4637,495000000,250,1,1000,14
53,26,52,4637,4153,495000000,500,1,1000,144
54,27,55,803,4153,140313000,1000,1,1000,40
55,27,54,4153,803,140313000,250,1,1000,14
56,28,57,2017,3543,99000000,1000,1,1000,9
57,28,56,3543,2017,99000000,1000,10,1000,14
58,29,59,3543,4653,4294967295,1000,10,1000,14
59,29,58,4653,3543,4294967295,1000,1000,1000,30
60,30,61,3543,5800,85036000,1000,10,1000,14
61,30,60,5800,3543,85036000,1000,1,1000,40
62,31,63,3543,4958,90090000,1000,10,1000,14
63,31,62,4958,3543,90090000,1000,1700,1000,30
64,32,65,1414,3543,4294967295,1000,1000,1000,144
65,32,64,3543,1414,4294967295,1000,10,1000,14
66,33,67,1703,3543,196517000,1000,1,1000,40
67,33,66,3543,1703,196517000,1000,10,1000,14
68,34,69,155,3543,99000000,1000,1,1000,144
69,34,68,3543,155,99000000,1000,10,1000,14
70,35,71,1348,3543,118357000,1000,1,1000,40
71,35,70,3543,1348,118357000,1000,10,1000,14
72,36,73,436,3543,4294967295,1000,1000,1000,30
73,36,72,3543,436,4294967295,1000,10,1000,14
74,37,75,3543,5446,99000000,1000,10,1000,14
75,37,74,5446,3543,99000000,1000,1,1000,40
76,38,77,3429,5567,4294967295,1000,1000,1000,30
77,38,76,5567,3429,4294967295,100,1,1000,14
78,39,79,933,5567,1473724000,500,1,1000,40
79,39,78,5567,933,1473724000,1000,10,1000,14
80,40,81,3871,5567,3465000000,1,1,1000,144
81,40,80,5567,3871,3465000000,1000,10,1000,14
82,41,83,4958,5567,1063582000,1000,1700,1000,30
83,41,82,5567,4958,1063582000,1000,10,1000,14
84,42,85,3183,5567,671467000,350,1,1000,144
85,42,84,5567,3183,671467000,1000,10,1,14
86,43,87,2361,5567,495000000,1000,1000,1000,30
87,43,86,5567,2361,495000000,100,1,1,14
88,44,89,1445,5567,3960353000,1000,1,1000,40
89,44,88,5567,1445,3960353000,1000,10,1,14
90,45,91,1703,5567,193718000,1000,1,1000,40
91,45,90,5567,1703,193718000,1000,10,1000,14
92,46,93,803,5567,193945000,1000,1,1000,40
93,46,92,5567,803,193945000,1000,10,1000,14
94,47,95,4875,5567,2595419000,1000,1,1000,29
95,47,94,5567,4875,2595419000,100,1,1000,14
96,48,97,2883,5567,4294967295,1000,1,1000,40
97,48,96,5567,2883,4294967295,300,1,1000,14
98,49,99,2353,5567,1152181000,999,1,1000,40
99,49,98,5567,2353,1152181000,1000,10,1,14
100,50,101,900,4978,198000000,490,10,1000,14
101,50,100,4978,900,198000000,10,1,1000,14
102,51,103,3308,4978,1999800000,1000,1000,1000,30
103,51,102,4978,3308,1999800000,100,1,1,14
104,52,105,2422,4978,198000000,1000,1,1000,40
105,52,104,4978,2422,198000000,10,1,1000,14
106,53,107,2722,4978,198000000,10000,5000,1000,144
107,53,106,4978,2722,198000000,10,1,1000,14
108,54,109,4978,5348,198000000,10,1,1,14
109,54,108,5348,4978,198000000,1000,1,1000,40
110,55,111,3343,4978,198000000,500,10,1000,30
111,55,110,4978,3343,198000000,10,1,1,14
112,56,113,3957,4978,495000000,1000,10,1000,14
113,56,112,4978,3957,495000000,10,1,1000,14
114,57,115,1269,4978,198000000,1000,10,1000,14
115,57,114,4978,1269,198000000,10,1,1000,14
116,58,117,492,4978,198000000,500,1,1000,40
117,58,116,4978,492,198000000,10,1,1000,14
118,59,119,3871,4978,198000000,1,1,1000,144
119,59,118,4978,3871,198000000,10,1,1,14
120,60,121,2474,4978,297000000,1000,1,1000,40
121,60,120,4978,2474,297000000,10,1,1,14
122,61,123,4653,4978,1999800000,1000,1000,1000,30
123,61,122,4978,4653,1999800000,10,1,1,14
124,62,125,1004,4978,297000000,1,89,1000,16
125,62,124,4978,1004,297000000,10,1,1000,14
126,63,127,4978,5716,223783000,10,1,1000,14
127,63,126,5716,4978,223783000,431,1,1000,14
128,64,129,2992,4978,198000000,995,1,1000,40
129,64,128,4978,2992,198000000,10,1,1000,14
130,65,131,3562,4978,297000000,1000,1,1000,144
131,65,130,4978,3562,297000000,10,1,1000,14
132,66,133,1446,4978,198000000,1000,1,1000,40
133,66,132,4978,1446,198000000,10,1,1,14
134,67,135,675,4978,198000000,5000,500,1000,40
135,67,134,4978,675,198000000,10,1,10000,14
136,68,137,295,4978,226230000,1000,1,1000,40
137,68,136,4978,295,226230000,10,1,1000,14
138,69,139,1358,4978,198000000,1000,1,1000,144
139,69,138,4978,1358,198000000,10,1,1000,14
140,70,141,3984,4978,198000000,1000,1,1000,40
141,70,140,4978,3984,198000000,10,1,1000,14
142,71,143,3113,4978,198000000,1000,1,1000,40
143,71,142,4978,3113,198000000,10,1,1000,14
