id,edge1_id,edge2_id,node1_id,node2_id,capacity(millisat)
0,0,1,0,1,105000000
1,2,3,2,3,6789000
2,4,5,4,5,250000000
3,6,7,6,7,22794000
4,8,9,2,8,63874000
5,10,11,4,9,150000000
6,12,13,10,11,2000000
7,14,15,11,12,2000000
8,16,17,0,13,200000000
9,18,19,12,14,3333000
10,20,21,0,15,108240000
11,22,23,16,17,237928000
12,24,25,18,19,1100000
13,26,27,6,19,1100000
14,28,29,12,20,1831257000
15,30,31,6,21,50000000
16,32,33,4,6,300000000
17,34,35,2,22,10000000
18,36,37,18,23,189822000
19,38,39,2,24,50000000
20,40,41,4,24,50000000
21,42,43,20,24,50000000
22,44,45,24,25,50000000
23,46,47,19,26,100000000
24,48,49,20,27,156925000
25,50,51,25,28,50000000
26,52,53,25,29,100000000
27,54,55,17,30,357883000
28,56,57,30,31,2000000000
29,58,59,30,32,927124000
30,60,61,2,33,20000000
31,62,63,25,30,2000000000
32,64,65,29,34,180000000
33,66,67,18,29,280000000
34,68,69,35,36,447259000
35,70,71,2,37,36976000
36,72,73,17,38,1600000000
37,74,75,20,29,330000000
38,76,77,29,35,180000000
39,78,79,39,40,60000000
40,80,81,39,40,200000000
41,82,83,35,41,20000000
42,84,85,35,41,20000000
43,86,87,0,42,500000000
44,88,89,30,43,190782000
45,90,91,44,45,302829000
46,92,93,46,47,89141000
47,94,95,46,48,132552000
48,96,97,46,49,200000000
49,98,99,30,50,980000000
50,100,101,51,52,1000000000
51,102,103,46,53,174997000
52,104,105,46,54,183491000
53,106,107,46,55,126191000
54,108,109,35,41,20000000
55,110,111,35,41,20000000
56,112,113,35,56,60000000
57,114,115,20,57,182519000
58,116,117,35,41,20000000
59,118,119,2,48,40000000
60,120,121,46,58,480000000
61,122,123,46,59,176716000
62,124,125,46,60,253437000
63,126,127,33,35,250000000
64,128,129,0,61,100000000
65,130,131,20,62,200000000
66,132,133,46,54,200000000
67,134,135,33,35,100000000
68,136,137,25,63,100000000
69,138,139,46,64,24089000
70,140,141,46,65,175364000
71,142,143,46,66,852625000
72,144,145,20,67,350000000
