id,short_channel_id
0,514861x2316x1
1,515451x2186x1
2,516234x320x0
3,516248x1403x0
4,516478x1571x1
5,517215x598x1
6,522523x2107x1
7,524662x1378x1
8,526112x251x1
9,527762x1142x1
10,528181x1103x0
11,528828x506x1
12,529154x614x1
13,530654x542x0
14,531525x1034x1
15,533652x2049x1
16,533973x699x0
17,535388x1097x0
18,536384x1071x0
19,536392x1241x0
20,536767x2544x1
21,536778x1593x0
22,537546x1504x1
23,538082x811x1
24,538098x36x1
25,539827x1299x1
26,539935x1836x0
27,540911x693x1
28,541045x1888x0
29,541195x1935x0
30,541427x1669x1
31,541451x234x0
32,541480x2052x1
33,541601x953x1
34,542579x1697x0
35,542892x2093x0
36,543135x1188x0
37,543333x2658x1
38,543832x529x0
39,544101x1265x1
40,545653x1317x1
41,545749x2499x1
42,547196x623x1
43,547196x698x0
44,547407x2232x0
45,547450x406x0
46,547519x571x0
47,547590x1037x0
48,547716x1538x1
49,548175x2057x1
50,548181x1383x1
51,548312x833x1
52,548504x741x1
53,548759x373x1
54,548805x1895x0
55,548924x725x1
56,549025x2102x0
57,549051x489x1
58,549201x1100x0
59,549209x370x0
60,549253x1110x0
61,549302x1731x1
62,549554x421x0
63,549970x1038x0
64,549987x1228x0
65,549989x724x0
66,549991x2493x0
67,550030x1227x0
68,550095x3090x0
69,550103x2320x0
70,550114x242x0
71,550269x370x0
72,550271x1159x0
73,550299x1638x0
74,550320x1185x0
75,550321x1438x0
76,550329x754x0
77,550329x969x0
78,550333x1405x0
79,550334x1473x0
80,550334x1707x0
81,550338x1497x0
82,550338x1642x0
83,550338x1752x0
84,550341x759x0
85,550341x809x0
86,550344x1091x0
87,550349x147x0
88,550350x1975x0
89,550374x653x0
90,550376x1947x0
91,550381x835x0
92,550381x840x0
93,550422x2670x0
94,550424x1251x0
95,550429x354x0
96,550431x1934x0
97,550432x385x0
98,550434x1272x0
99,550434x1276x0
100,550436x1647x0
101,550437x2044x0
102,550437x2050x0
103,550438x2090x0
104,550442x2029x0
105,550442x2037x0
106,550444x946x0
107,550444x999x1
108,550446x1834x0
109,550447x597x0
110,550496x368x0
111,550503x203x1
112,550635x631x1
113,550696x617x0
114,550738x1907x0
115,550739x2182x0
116,550739x2190x0
117,550743x1473x0
118,550746x390x0
119,550747x1494x0
120,550755x1258x0
121,550756x1663x0
122,550759x2026x0
123,550759x2031x0
124,550769x1945x0
125,550771x1730x0
126,550772x713x0
127,550775x2088x1
128,550803x1473x0
129,550808x143x1
130,550846x801x1
131,550906x1584x1
132,550913x539x0
133,550923x1215x0
134,551041x586x1
135,551048x1375x1
136,551086x1577x0
137,551086x1578x1
138,551166x1920x0
139,551186x1779x0
140,551251x1082x0
141,551251x1083x0
