id,edge1,edge2,node1,node2,capacity,is_closed
0,0,1,0,1,105000000,0
1,2,3,2,3,6789000,0
2,4,5,4,5,250000000,0
3,6,7,6,7,22794000,0
4,8,9,2,8,63874000,0
5,10,11,4,9,150000000,0
6,12,13,10,11,2000000,0
7,14,15,11,12,2000000,0
8,16,17,0,13,200000000,0
9,18,19,12,14,3333000,0
10,20,21,0,15,108240000,0
11,22,23,16,17,237928000,0
12,24,25,18,19,1100000,0
13,26,27,6,19,1100000,0
14,28,29,12,20,1831257000,0
15,30,31,6,21,50000000,0
16,32,33,4,6,300000000,0
17,34,35,2,22,10000000,0
18,36,37,18,23,189822000,0
19,38,39,2,24,50000000,0
20,40,41,4,24,50000000,0
21,42,43,20,24,50000000,0
22,44,45,24,25,50000000,0
23,46,47,19,26,100000000,0
24,48,49,20,27,156925000,0
25,50,51,25,28,50000000,0
26,52,53,25,29,100000000,0
27,54,55,17,30,357883000,0
28,56,57,30,31,2000000000,0
29,58,59,30,32,927124000,0
30,60,61,2,33,20000000,0
31,62,63,25,30,2000000000,0
32,64,65,29,34,180000000,0
33,66,67,18,29,280000000,0
34,68,69,35,36,447259000,0
35,70,71,2,37,36976000,0
36,72,73,17,38,1600000000,0
37,74,75,20,29,330000000,0
38,76,77,29,35,180000000,0
39,78,79,39,40,60000000,0
40,80,81,39,40,200000000,0
41,82,83,35,41,20000000,0
42,84,85,35,41,20000000,0
43,86,87,0,42,500000000,0
44,88,89,30,43,190782000,0
45,90,91,44,45,302829000,0
46,92,93,46,47,89141000,0
47,94,95,46,48,132552000,0
48,96,97,46,49,200000000,0
49,98,99,30,50,980000000,0
50,100,101,51,52,1000000000,0
51,102,103,46,53,174997000,0
52,104,105,46,54,183491000,0
53,106,107,46,55,126191000,0
54,108,109,35,41,20000000,0
55,110,111,35,41,20000000,0
56,112,113,35,56,60000000,0
57,114,115,20,57,182519000,0
58,116,117,35,41,20000000,0
59,118,119,2,48,40000000,0
60,120,121,46,58,480000000,0
61,122,123,46,59,176716000,0
62,124,125,46,60,253437000,0
63,126,127,33,35,250000000,0
64,128,129,0,61,100000000,0
65,130,131,20,62,200000000,0
66,132,133,46,54,200000000,0
67,134,135,33,35,100000000,0
68,136,137,25,63,100000000,0
69,138,139,46,64,24089000,0
70,140,141,46,65,175364000,0
71,142,143,46,66,852625000,0
72,144,145,20,67,350000000,0
73,146,147,2,68,50000000,0
74,148,149,2,54,500000000,0
75,150,151,67,69,500000000,0
76,152,153,46,62,300000000,0
77,154,155,4,62,300000000,0
78,156,157,62,67,400000000,0
79,158,159,46,70,265868000,0
80,160,161,46,71,273199000,0
81,162,163,67,72,102000000,0
82,164,165,46,73,239757000,0
83,166,167,25,74,70280000,0
84,168,169,8,30,500000000,0
85,170,171,67,75,305558000,0
86,172,173,4,76,154829000,0
87,174,175,26,77,28405000,0
88,176,177,35,78,200000000,0
89,178,179,67,79,2000000000,0
90,180,181,4,80,147965000,0
91,182,183,67,81,25000000,0
92,184,185,36,67,100000000,0
93,186,187,46,82,44499000,0
94,188,189,46,83,20000000,0
95,190,191,67,84,10000000000,0
96,192,193,46,85,500000000,0
97,194,195,46,86,1200000000,0
98,196,197,35,87,500000000,0
99,198,199,67,88,300000000,0
100,200,201,67,89,300000000,0
101,202,203,67,90,200000000,0
102,204,205,35,91,48000000,0
103,206,207,92,93,22222000,0
104,208,209,61,94,50000000,0
105,210,211,39,94,50000000,0
106,212,213,30,78,200000000,0
107,214,215,2,95,86827000,0
108,216,217,20,35,250000000,0
109,218,219,46,96,76724000,0
110,220,221,35,72,300000000,0
111,222,223,46,95,23402000,0
112,224,225,20,97,20000000,0
113,226,227,35,97,20000000,0
114,228,229,46,98,100000000,0
115,230,231,67,99,200000000,0
116,232,233,4,100,20000000,0
117,234,235,67,101,45436000,0
118,236,237,4,78,200000000,0
119,238,239,30,78,200000000,0
120,240,241,20,78,200000000,0
121,242,243,67,78,200000000,0
122,244,245,4,78,200000000,0
123,246,247,25,102,29182000,0
124,248,249,46,103,239517000,0
125,250,251,20,45,500000000,0
126,252,253,46,104,279214000,0
127,254,255,35,101,100000000,0
128,256,257,46,105,20000000,0
129,258,259,26,106,50000000,0
130,260,261,46,107,50000000,0
131,262,263,67,108,400000000,0
132,264,265,46,108,400000000,0
133,266,267,35,109,500000000,0
134,268,269,34,110,92155000,0
135,270,271,26,46,16774736000,0
136,272,273,67,111,100000000,0
137,274,275,51,92,20000000,0
138,276,277,51,92,30000000,0
139,278,279,51,92,30000000,0
140,280,281,51,92,20000000,0
141,282,283,51,92,41000000,0
142,284,285,51,92,30000000,0
143,286,287,46,112,20000000,0
144,288,289,67,112,200000000,0
145,290,291,35,112,20000000,0
146,292,293,30,113,500000000,0
147,294,295,67,114,631502000,0
148,296,297,67,78,200000000,0
149,298,299,2,78,200000000,0
150,300,301,30,78,200000000,0
151,302,303,25,78,200000000,0
152,304,305,26,115,11401193000,0
153,306,307,18,116,500000000,0
154,308,309,46,117,150000000,0
155,310,311,26,78,200000000,0
156,312,313,46,118,20000000,0
157,314,315,20,78,200000000,0
158,316,317,78,103,200000000,0
159,318,319,33,35,1000000000,0
160,320,321,6,78,200000000,0
161,322,323,4,78,200000000,0
162,324,325,85,119,1000000000,0
163,326,327,30,78,200000000,0
164,328,329,35,120,500000000,0
165,330,331,121,122,172110000,0
166,332,333,6,123,438508000,0
167,334,335,46,123,287341000,0
168,336,337,25,94,100000000,0
169,338,339,46,124,20000000,0
170,340,341,46,125,262786000,0
171,342,343,46,124,257648000,0
172,344,345,126,127,23495000,0
173,346,347,46,128,104640000,0
174,348,349,4,78,200000000,0
175,350,351,78,103,200000000,0
176,352,353,34,78,200000000,0
177,354,355,2,129,89077000,0
178,356,357,46,78,200000000,0
179,358,359,2,78,200000000,0
180,360,361,20,130,100000000,0
181,362,363,46,131,233758000,0
182,364,365,46,132,300000000,0
183,366,367,12,132,250000000,0
184,368,369,2,133,124566000,0
185,370,371,67,134,125000000,0
