id,sender_id,receiver_id,amount,start_time
0,9507,5281,133,53
1,14501,9913,159,110
2,9865,1118,49,170
3,9264,10052,85,224
4,5710,10645,127,272
5,12287,4264,38,295
6,6380,9966,111,352
7,5455,5668,54,410
8,8902,1920,137,462
9,370,10786,157,486
10,5354,11755,175,527
11,1334,17450,110,557
12,1344,6926,30,603
13,4748,17502,10,656
14,4495,15662,13,708
15,16660,10564,117,741
16,13815,17741,94,759
17,8362,10857,168,780
18,18979,14457,132,810
19,12267,5951,88,827
20,2293,6164,64,868
21,8419,19886,185,923
22,7271,1555,29,948
23,17113,17636,104,975
24,11784,7508,22,1007
25,4049,4987,173,1022
26,4885,19508,116,1079
27,18032,10113,59,1106
28,447,2679,65,1144
29,15027,14384,22,1177
30,14678,3946,67,1236
31,3032,9051,70,1264
32,15566,9352,186,1324
33,19303,18778,61,1335
34,8861,8291,66,1378
35,10585,3643,154,1427
36,5127,7417,132,1461
37,15108,7118,139,1503
38,16501,15145,39,1541
39,709,19606,68,1565
40,4186,11103,83,1611
41,17393,19729,139,1653
42,19555,16040,171,1701
43,11255,8984,40,1757
44,13238,2937,150,1774
45,8436,4293,46,1828
46,9899,17931,47,1866
47,16025,3632,35,1884
48,12424,6591,194,1937
49,12258,3817,136,1950
50,564,12993,141,1980
51,3535,17480,77,2010
52,5107,19207,61,2052
53,13078,4070,142,2097
54,10049,1527,180,2152
55,10091,1118,34,2192
56,10297,10544,195,2250
57,6542,8849,172,2262
58,16059,19313,177,2305
59,16546,16328,144,2325
60,9295,12053,86,2379
61,1530,1163,138,2415
62,3499,13531,168,2472
63,9514,9812,126,2527
64,18409,9592,140,2583
65,5208,19391,100,2594
66,19966,2468,18,2646
67,3542,15034,39,2696
68,3095,14335,192,2710
69,17893,9029,137,2745
70,4357,16117,99,2781
71,11677,3036,154,2834
72,4204,4143,185,2856
73,5042,12555,61,2906
74,10410,2570,105,2941
75,19325,10186,135,2980
76,10674,8988,76,3009
77,1350,19400,55,3044
78,12449,19710,146,3079
79,8311,18890,127,3120
80,6228,10515,128,3131
81,17426,17431,148,3163
82,15869,17898,21,3222
83,14551,6033,18,3271
84,8500,3397,115,3326
85,19729,7494,48,3352
86,17904,9643,167,3404
87,17702,10959,29,3427
88,4015,9277,114,3481
89,15532,3536,145,3498
90,3624,5046,100,3512
91,474,15320,176,3532
92,5478,6225,74,3551
93,6001,1717,93,3578
94,7466,10135,136,3625
95,10626,16184,19,3645
96,12622,4922,189,3662
97,1902,3076,44,3681
98,13252,14761,124,3730
99,10525,4767,79,3766
