id,sender_id,receiver_id,amount,start_time
0,349,877,92,54
1,673,1513,83,78
2,1586,181,54,99
3,18,1561,65,114
4,17,1028,64,145
5,774,889,90,182
6,549,123,34,192
7,153,537,61,228
8,482,769,17,272
9,524,1250,93,288
10,591,286,71,340
11,1041,1384,66,394
12,151,770,29,417
13,905,30,39,470
14,966,113,48,521
15,1289,984,30,537
16,1971,559,11,577
17,1843,1294,86,637
18,1655,1744,57,689
19,933,1490,38,742
20,399,468,47,756
21,1796,108,36,781
22,557,1325,62,831
23,1071,1489,83,868
24,157,1388,86,890
25,740,1184,86,904
26,159,1147,57,921
27,1808,1688,14,968
28,320,1204,11,992
29,487,1251,43,1043
30,1944,1560,44,1091
31,1954,1247,76,1107
32,1185,1649,64,1162
33,1309,218,77,1193
34,1166,1237,96,1226
35,160,307,96,1281
36,1281,390,51,1339
37,659,1934,44,1391
38,1376,207,98,1427
39,1294,701,96,1463
40,245,1891,26,1486
41,1089,1355,83,1532
42,960,1551,66,1562
43,1239,357,88,1609
44,113,1808,93,1641
45,655,1128,84,1670
46,694,1498,61,1727
47,648,1594,100,1761
48,751,1925,16,1811
49,222,1366,46,1841
50,1559,936,95,1852
51,1142,1358,29,1883
52,1516,942,98,1898
53,1627,15,17,1927
54,1233,343,32,1953
55,1146,15,94,1999
56,64,1627,36,2043
57,759,1710,52,2070
58,197,590,17,2114
59,1813,290,55,2155
60,417,405,35,2189
61,1614,1613,42,2223
62,718,1786,53,2250
63,215,1547,81,2289
64,569,1244,30,2330
65,1337,1195,46,2364
66,1603,1162,11,2424
67,1999,624,51,2446
68,1388,977,21,2498
69,1452,221,31,2517
70,457,801,75,2533
71,1298,795,64,2571
72,1267,880,78,2588
73,175,634,45,2638
74,1070,272,49,2657
75,510,1813,42,2687
76,917,1669,41,2708
77,514,787,11,2757
78,1909,936,48,2811
79,715,1410,70,2851
80,632,511,11,2876
81,1465,1803,92,2888
82,1998,1646,64,2929
83,1131,440,41,2986
84,1051,1052,48,3005
85,1335,714,34,3020
86,1035,489,15,3068
87,1263,1206,38,3114
88,1259,747,56,3162
89,211,1785,96,3182
90,42,1967,75,3217
91,1950,1218,59,3277
92,1758,434,32,3311
93,1552,653,14,3337
94,318,906,18,3380
95,270,977,19,3392
96,270,476,62,3420
97,867,1267,72,3434
98,1766,1047,35,3446
99,306,1293,61,3492
100,1488,1336,26,3511
101,1028,1983,12,3567
102,1449,707,21,3606
103,1194,25,51,3634
104,1419,1714,45,3670
105,831,1059,75,3697
106,352,937,80,3719
107,874,1936,16,3745
108,1717,1519,85,3794
109,488,1083,58,3809
110,1867,1441,30,3852
111,963,1198,90,3867
112,1345,948,72,3912
113,1776,847,47,3967
114,1345,463,39,3987
115,846,508,18,4021
116,1775,1482,12,4073
117,418,169,75,4125
118,900,779,50,4141
119,1879,820,34,4160
120,721,59,88,4170
121,203,595,59,4223
122,1926,712,96,4235
123,279,909,15,4271
124,593,521,54,4290
125,1003,719,19,4332
126,760,88,53,4342
127,789,38,26,4354
128,1641,1955,29,4365
129,1180,337,93,4375
130,360,1711,94,4395
131,1738,796,53,4448
132,1476,322,83,4474
133,997,430,54,4487
