budget_btc,unique_paths_controlled
0.01,2553
0.011678,2768
0.013638,2891
0.015926,3352
0.018598,3796
0.021719,4331
0.025363,4712
0.029619,4990
0.034589,5417
0.040394,7242
0.047171,7992
0.055087,8711
0.06433,10127
0.075125,11285
0.087731,12091
0.102452,13171
0.119643,14429
0.139719,18488
0.163164,20099
0.190542,22133
0.222515,23786
0.259853,25856
0.303456,28354
0.354375,30268
0.413839,34771
0.48328,37861
0.564374,40738
0.659075,43563
0.769667,49777
0.898816,52265
1.049636,56526
1.225764,65038
1.431445,71806
1.67164,77204
1.952138,84753
2.279705,91211
2.662236,100106
3.108955,106202
3.630634,113029
4.239849,123860
4.95129,132100
5.78211,254510
6.75234,264521
7.885373,275851
9.208528,306205
10.753706,324045
12.558163,356289
14.665406,373371
17.12624,393177
20.0,451456
