node_id,betweenness_count,balance(millisat)
11034,9106,650000000
11035,8729,25000000
960,8329,3000000000
12921,6638,8503333000
12920,6293,643747266500
961,6239,53045282000
12519,5982,5000000000
2607,5423,743884000
14427,5384,15076000000
12518,5276,79600500000
2606,5077,1193884000
14426,4962,1600000000
271,4515,9248356000
270,4445,2261758500
781,3937,50000000
2093,3433,4018185500
2092,3240,208671500
1835,3221,2750000000
780,3001,8552763000
12940,2876,12500000
248,2867,1381904625500
1505,2853,55125129500
7242,2825,12500000
1504,2753,50000000
1843,2745,2020000000
1807,2688,632607500
6659,2643,32061601500
249,2549,4500000000
1567,2523,131776500
1834,2447,390821000
1806,2406,245888559500
12941,2397,35968218500
2893,2350,279763500
1566,2258,43191358000
7243,2251,1250646185500
3172,2228,50000000
1842,2174,2407126500
2714,2173,913256767500
16805,2127,170000000
216,2113,337861000
9767,2103,2376890500
2892,2103,50000000
13335,2079,25000000
5907,2079,8559503000
3173,2064,50000000
217,2064,117135500
3277,2034,50000000
9766,2004,25000000
9678,2001,395919500
2810,1983,135562101000
4672,1974,50000000
9679,1971,15601255500
13334,1968,25000000
2811,1966,175000000
2715,1966,25102215000
3276,1965,192290188000
18092,1921,25000000
2809,1884,50000000
6731,1874,223390065000
18093,1867,225000000
922,1862,46770000
2790,1858,250000000
1865,1856,4750000000
2167,1853,50000000
11161,1850,66378280000
11160,1850,350000000
814,1830,450000000
2723,1827,171503500
9048,1819,112624000
13804,1816,25000000
2808,1794,789290000
3919,1789,5021916000
9049,1754,250000000
2734,1746,36568534500
3918,1740,745000000
815,1730,16777215000
8970,1727,792679500
16804,1705,8690863000
2791,1699,50000000
13805,1691,25000000
3164,1659,100000000
595,1645,7416072000
7716,1638,14010611500
1272,1632,2714196500
914,1630,517841500
1273,1620,36432811500
2166,1609,114797394000
2700,1606,9594316500
2722,1588,525000000
6787,1584,19666668500
4615,1582,100000000
1979,1580,1492823500
144,1580,437111500
2735,1575,435959000
145,1575,375000000
846,1570,381973000
2795,1567,155000000
4527,1553,250000000
915,1541,3471583000
1978,1538,200000000
1561,1538,400000000
639,1538,10929596000
2701,1532,67614000
3166,1525,50000000
3842,1514,3601012500
8971,1503,460000000
5906,1503,1000000000
18091,1501,1450000000
1560,1497,144351500
627,1484,2379278000
18085,1477,1301406500
923,1472,10000000
3278,1471,100000000
15982,1464,25000000
638,1463,10907930000
18090,1461,10632128500
4614,1460,10000000
11153,1459,5150000000
847,1457,50000000
11152,1450,3500000000
1841,1443,10000000
646,1431,9750000000
1900,1428,81843654500
2773,1425,175000000
2772,1424,161533000
11540,1423,25000000
4526,1414,23000000
15983,1410,25000000
2794,1409,500000000
634,1405,50000000
1953,1399,110885035500
705,1398,22384715500
4673,1396,50000000
7717,1395,24198607500
18084,1391,76000000000
3165,1388,50000000
121,1387,89142558500
194,1381,64138272000
1791,1377,24230955500
4523,1375,7500000000
4629,1373,560000000
1730,1373,184989500
3279,1369,10606000
4,1369,15356308500
633,1364,500000000
158,1362,11693022056000
305,1361,179598770500
12546,1359,8425000000
17,1359,100381638500
143,1356,71960891500
628,1355,84793500500
1491,1354,2500000000
396,1353,26703247500
16,1351,41361602500
170,1350,17749409000
1072,1349,950000000
252,1349,1456959698500
14502,1348,50000000
1655,1347,2282078500
378,1345,425000000
1536,1343,1885528000
172,1343,1185886500
2786,1341,50000000
502,1341,256502000
309,1341,1223113000
514,1340,40375536000
1325,1339,11163789500
498,1339,151539000
140,1339,2938672500
340,1338,450000000
190,1338,1974368500
1708,1334,1475500781000
363,1333,680850500
203,1332,6900957500
126,1331,383515408500
1922,1329,7870470000
1320,1328,525000000
1404,1327,144090000
200,1327,310603236500
1343,1326,31173383000
982,1326,114802875000
371,1326,20521704000
455,1325,2999943000
1884,1324,18430000000
1301,1324,1339518000
1366,1323,3700000000
791,1323,30500000
329,1323,9338607500
272,1323,748436200500
1721,1322,1500000000
1685,1322,128697500
1449,1322,37585723000
457,1322,196692000
159,1322,639271500
146,1322,127562373000
195,1321,485842031000
1212,1320,8388607500
444,1320,14326022500
204,1320,3423352000
150,1320,666248568000
142,1320,250000000
1885,1319,2854331500
1213,1319,5910523000
114,1319,1110472000
392,1318,2561832500
1853,1317,500000000
253,1317,1067936662000
1435,1316,150000000
647,1316,6500000000
1621,1315,76008844500
954,1315,2017774916500
456,1315,900000000
1347,1314,122317000
1252,1313,4000000000
1226,1313,12113397500
1684,1311,531193000
1610,1311,8954866500
971,1311,233139493000
568,1311,3175000000
380,1311,1448937000
379,1311,5269999500
275,1311,35700911500
231,1311,130612520500
682,1310,148410500
36,1310,273629500
1627,1308,125492753000
192,1308,50548830500
127,1308,56507802000
1720,1307,17875000000
580,1307,943410500
370,1307,3521272000
173,1307,456767062000
120,1307,250000000
1780,1306,12104980000
1052,1306,1005000000
543,1306,519530500
164,1306,11876880500
330,1305,682907500
612,1304,1519833500
1952,1303,80000000
171,1303,100000000
125,1303,131393000
6544,1302,4109076000
4641,1302,50000000
123,1302,2110676000
1662,1301,1174400000
1478,1301,98874500
1183,1301,1400950000
1690,1300,2171971000
769,1300,283884832500
1324,1299,770000000
499,1299,3773208500
683,1298,380000000
629,1298,100000000
526,1298,4542887000
328,1298,1147612500
304,1298,80211500
186,1298,13428038000
5,1298,125000000
2787,1297,13158322500
