id,open_edges
0,0-16-20-86-128-846-848-856-866-870-872-874-880-882-884-886-948-950-954-988-1044-1306-1368-1480-1486-1488-1490-1498-1504-1552-1560-1564-1566-1570-1572-1618-1736-1810-1826-1874-1900-1910-1944-2166-2318-2350-2476-2606-2692-2960-3156-3340-3342-3454-3456-3458-3522-3560-3814-3840-3956-4010-4016-4102-4140-4278-4408-4416-4436-4454-4490-4720-4722-4724-4726-4762-4910-4912-4998-5016-5030-5256-5568-5824-6026-6342-6424-6486-6494-6616-6756-6846-7184-7312-7322-7330-7776-7778-8192-8198-8294-8338-8344-8384-8686-8710-8824-8830-8894-8934-9244-9320-9488-9630-9770-9924-9926-9940-9958-9964-9968-9992-10164-10246-10254-10556-11100-11232-11680-11810-11860-11892-11906-11982-12074-12098-12120-12236-12308-12542-12686-12722-12792-12838-12860-12862-12944-13084-13096-13224-13232-13314-13316-13444-13516-13716-13818-13830-13914-14016-14226-14514-14516-14610-14616-14628-14764-15004-15038-15068-15128-15134-15152-15202-15236-15240-15322-15362-15380-15384-15386-15388-15390-15392-15394-15396-15398-15402-15404-15406-15434-15436-15564-15566-15626-15644-15660-15662-15664-15666-15668-15670-15682-15704-15712-15768-15776-15788-15790-15836-15922-15986-16142-16148-16162-16164-16168-16254-16304-16326-16394-16398-16434-16648-16696-16754-16798-16950-16966-16974-16982-17106-17126-17234-17462-17470-17494-17496-17502-17520-17632-17692-17700-17828-17830-17910-17966-18076-18078-18080-18082-18084-18086-18090-18092-18094-18096-18098-18100-18216-18338-18384-18544-18548-18554-18994-19134-19210-19306-19412-19470-19772-19910-19962-20070-20358-20454-20468-20622-20648-20710-20788-20882-20940-20954-21008-21170-21314-21410-21482-21558-21672-21862-21874-21996-22222-22264-22288-22472-22644-22722-22800-22832-23204-23264-23828-23864-23964-23994-24156-24320-24356-24512-24530-24572-24788-24866-25098-25102-25112-25192-25418-25808-25882-26406-26612-26888-27184-27222-27430-27548-27954-28074-28204-28668-28898-28964-29054-29056-29178-29222-29334-29452-29512-29706-30180-30182-30184-30264-30314-30378-30432-30966-31414-31604-31666-31922-31938-32108-32328-32670-32684-32766-32772-32816-32818-32820-32902-32954-33060-33062-33202-33296-33546-33686-33898-33958-34486-34562-34628-34652-34680-34770-34828-35144-35820-35992-36150-36156-36238-36328-36400-36416-36544-37168-37202-37304-37818-37972-38480-38612-39258-39720-40002-40008-40126-40186-40614-41180-41500-41598-41692-41852-41914-42134-42434-42736-43680-43788-43798-43862-44360-44930-45120-45170-45494-45686-48032-48118-48150-48200-48378-48460-48920-49352-49510-49580-50230-50414-52350-52530-52736-52744-52798-52934-52994-53500-53564-54350-54734-56628-56864-58942-59736-61368-61448-61806-62122-63022-63486-63490-64470-64572-64578-64588-64602-64606-64882-65126-65202-66130-66588-66618-66656-67464-67772-67868-67942-68174-68374-68432-68512-68724-69022-69096-69114-69444-69712-69840-69870-69946-70314-70408-70524-70778-70798-70928-71226-73802-73806-73808-73864-74064-74462-74532-74644-74772-74934-75306-75504-76054-76268-76316-76484-76510-76622-76982-77244-77410-77894-79440-79494-79602-80256-80896-81274-82608-82620-83374-83812-86450-86500-86504-86508-86510-86512-86592-87412-87486-87882-87918-88176-89360-89396-90284-90962-90964-90966-90972-90974-90976-91104-91224-91492-91644-91716-92040-92046-92576-94468-94602-94870-95732-95906-96042-96270-96414-96900-98180-99794-99948-99950-100732-100860-101202-101472-101534-101878-103100-103272-103302-104246-104336-104888-105918-105976-105990-106048-106382-106398-106592-107330-107434-107688-107940-108292-108636-109656-110446-111946-113312-113402-113876-113926-114132-114826-115182-121328-122228-124884-124886-125044-125664-125986-126616-128298-128776-129768-154092-155682-156840
1,1
2,2-8-34-38-60-70-118-146-148-214-298-354-358-368-410-1004-1058-1068-1192-1434-1510-1698-1776-1958-2622-2658-2972-3536-4728-5638-5650-5746-6198-6220-7410-7484-7502-7744-7998-8914-9632-10484-10576-10836-10838-10942-11814-12704-13114-13442-13582-16214-16462-20458-23092-23284-25030-26408-29896-38112-39264-42930-43056-43702-44338-45098-47268-49666-52412-55650-65352-68372-68842-71096-72206-85112-88624-90364-94556-95824-100748-103196-111740-114896-119240-126024-134430-147974-152684-153244
3,3
4,4-10-32-40-154-172-180-232-236-244-322-348-446-538-542-1272-1316-1505-2260-2584-2636-2650-3222-3350-4056-4778-5022-5298-5366-6506-7670-8000-8102-8206-9038-9784-10206-10764-11288-11516-14570-19622-20460-24764-28158-33922-42826-42830-44130-46918-47184-50834-52032-52208-61172-104108-127014-135152
5,5
6,6-26-30-33-320-332-562-1516-2108-4011-4742-5808-5816-6462-6684-7906-7980-9706-9708-10112-10290-11570-14176-16128-16184-33790-56584-63252-66108-73982-95810-96600-109968-114448-119574-122348-131128-132162-136256-142646
7,7
8,9-168
9,11-2656-5626-6682-7486-8010-9618-10324-18922-34550-38254-39044-44544-63066-63756-68488-68500-73750-76356-78834-100150-103886-108430-109624-118104-122198-125204-126416-129938-135634-136638-138640-143252-146958-149072-149122-150590-156308-157402-162200
