budget_btc,unique_paths_controlled
0.01,2769
0.011678,3210
0.013638,3501
0.015926,3665
0.018598,4250
0.021719,4487
0.025363,5232
0.029619,5559
0.034589,6146
0.040394,6424
0.047171,8574
0.055087,9085
0.06433,10064
0.075125,11964
0.087731,12866
0.102452,13891
0.119643,18301
0.139719,20599
0.163164,22159
0.190542,23685
0.222515,25740
0.259853,28060
0.303456,30094
0.354375,34118
0.413839,37564
0.48328,40088
0.564374,43538
0.659075,49332
0.769667,54200
0.898816,57628
1.049636,61298
1.225764,68357
1.431445,74481
1.67164,82485
1.952138,89594
2.279705,95760
2.662236,103297
3.108955,111043
3.630634,117225
4.239849,130307
4.95129,142928
5.78211,266417
6.75234,278518
7.885373,290751
9.208528,322049
10.753706,339011
12.558163,353560
14.665406,389310
17.12624,411174
20.0,433608
