budget_percent,unique_paths_controlled
0.01,34118
0.09,112118
0.17,271887
0.25,317713
0.34,352123
0.42,393465
0.5,418324
0.58,474493
0.66,502555
0.74,516912
0.82,531106
0.91,540321
0.99,546240
1.07,553325
1.15,558282
1.23,563121
1.31,568220
1.39,570695
1.48,615811
1.56,617387
1.64,623724
1.72,629663
1.8,634255
1.88,641292
1.96,641292
2.05,647633
2.13,656357
2.21,662409
2.29,664590
2.37,667851
2.45,671842
2.53,674545
2.62,680291
2.7,681994
2.78,685798
2.86,692174
2.94,692174
3.02,693551
3.1,697113
3.19,702338
3.27,702338
3.35,708721
3.43,708721
3.51,708721
3.59,714014
3.67,714014
3.76,715722
3.84,717487
3.92,719125
4.0,725096
