budget_btc,unique_paths_controlled
0.01,27061
0.011678,29580
0.013638,33227
0.015926,36108
0.018598,38450
0.021719,52599
0.025363,57666
0.029619,64798
0.034589,69705
0.040394,76387
0.047171,80979
0.055087,84759
0.06433,91765
0.075125,96362
0.087731,103575
0.102452,107343
0.119643,113688
0.139719,121892
0.163164,126839
0.190542,134101
0.222515,140739
0.259853,148753
0.303456,157422
0.354375,164149
0.413839,177589
0.48328,188207
0.564374,197531
0.659075,215481
0.769667,238300
0.898816,257263
1.049636,283810
1.225764,310515
1.431445,328096
1.67164,355446
1.952138,372814
2.279705,396050
2.662236,422709
3.108955,443692
3.630634,471257
4.239849,507107
4.95129,530760
5.78211,559076
6.75234,578626
7.885373,606672
9.208528,621474
10.753706,637973
12.558163,647811
14.665406,660770
17.12624,670603
20.0,677523
