budget_percent,unique_paths_controlled
0.01,24288
0.09,99342
0.17,124148
0.25,140667
0.34,157422
0.42,166265
0.5,181889
0.58,191018
0.66,206827
0.74,214749
0.82,226995
0.91,244031
0.99,251391
1.07,266041
1.15,283810
1.23,289350
1.31,295465
1.39,310515
1.48,315677
1.56,324031
1.64,329899
1.72,339426
1.8,344231
1.88,355446
1.96,355446
2.05,364501
2.13,367709
2.21,372814
2.29,378149
2.37,382459
2.45,390157
2.53,396050
2.62,396060
2.7,400872
2.78,406513
2.86,408655
2.94,412284
3.02,422709
3.1,422709
3.19,434261
3.27,434261
3.35,436200
3.43,441783
3.51,442917
3.59,446589
3.67,451328
3.76,460102
3.84,460102
3.92,460102
4.0,465323
