id,edge1,edge2,node1,node2,capacity,is_closed
0,0,1,158,1027,278610000,0
1,2,3,265,1027,5940000000,0
2,4,5,602,1027,1188000000,0
3,6,7,366,1027,198000000,0
4,8,9,75,1027,178282000,0
5,10,11,151,1027,2105652000,0
6,12,13,492,1027,400000000,0
7,14,15,613,1027,1980000000,0
8,16,17,1027,1054,198000000,0
9,18,19,1027,1226,33554430000,0
10,20,21,360,510,1896856000,0
11,22,23,105,360,3999600000,0
12,24,25,360,861,1896856000,0
13,26,27,360,1352,2840500000,0
14,28,29,238,974,10000000,0
15,30,31,75,866,10000000,0
16,32,33,52,866,10000000,0
17,34,35,75,1037,392000000,0
18,36,37,162,405,10000000,0
19,38,39,162,926,10000000,0
20,40,41,162,753,10000000,0
21,42,43,452,1103,990000000,0
22,44,45,289,568,10000000,0
23,46,47,568,833,10000000,0
24,48,49,399,463,10000000,0
25,50,51,112,1134,10000000,0
26,52,53,697,1226,120000000,0
27,54,55,280,369,5000000000,0
28,56,57,126,576,1476256000,0
29,58,59,744,1190,10000000,0
30,60,61,104,829,33554430000,0
31,62,63,829,1145,198000000,0
32,64,65,653,829,33554430000,0
33,66,67,707,829,20573312000,0
34,68,69,152,829,5940000000,0
35,70,71,93,829,33554430000,0
36,72,73,149,244,403920000,0
37,74,75,278,292,980000000,0
38,76,77,292,604,254800000,0
39,78,79,292,1252,57816000,0
40,80,81,292,467,57816000,0
41,82,83,292,1091,8589934590,0
42,84,85,292,342,8589934590,0
43,86,87,292,366,196000000,0
44,88,89,292,708,373202000,0
45,90,91,292,492,196000000,0
46,92,93,2,1252,2032884000,0
47,94,95,244,269,95012000,0
48,96,97,28,1218,10000000,0
49,98,99,28,1039,10000000,0
50,100,101,111,838,634028000,0
51,102,103,342,407,1500000000,0
52,104,105,931,1252,10000000,0
53,106,107,130,710,10000000,0
54,108,109,461,492,10000000,0
55,110,111,335,461,10000000,0
56,112,113,461,747,10000000,0
57,114,115,461,795,10000000,0
58,116,117,461,510,10000000,0
59,118,119,461,628,10000000,0
60,120,121,461,1133,10000000,0
61,122,123,366,461,10000000,0
62,124,125,244,461,10000000,0
63,126,127,43,461,10000000,0
64,128,129,461,849,10000000,0
65,130,131,75,788,10000000,0
66,132,133,788,1226,10000000,0
67,134,135,170,1035,97816000,0
68,136,137,198,580,10000000,0
69,138,139,57,1249,10000000,0
70,140,141,309,731,10000000,0
71,142,143,506,1313,196000000,0
72,144,145,93,1317,495000000,0
73,146,147,324,603,10000000,0
74,148,149,603,1222,10000000,0
75,150,151,603,739,10000000,0
76,152,153,229,603,10000000,0
77,154,155,85,1191,10000000,0
78,156,157,85,714,10000000,0
79,158,159,85,1107,10000000,0
80,160,161,85,1103,10000000,0
81,162,163,85,366,10000000,0
82,164,165,829,1209,10000000,0
83,166,167,1103,1209,10000000,0
84,168,169,1091,1209,10000000,0
85,170,171,131,1209,10000000,0
86,172,173,252,1209,10000000,0
87,174,175,540,1209,10000000,0
88,176,177,1142,1209,10000000,0
89,178,179,366,1209,10000000,0
90,180,181,1026,1209,10000000,0
91,182,183,559,1209,10000000,0
92,184,185,699,1209,10000000,0
93,186,187,440,1209,10000000,0
94,188,189,560,1209,10000000,0
95,190,191,477,1209,10000000,0
96,192,193,303,1209,10000000,0
97,194,195,141,1209,10000000,0
98,196,197,786,1209,10000000,0
99,198,199,861,1209,10000000,0
100,200,201,585,1209,10000000,0
101,202,203,1201,1209,10000000,0
102,204,205,342,1209,10000000,0
103,206,207,1013,1209,10000000,0
104,208,209,195,1209,10000000,0
105,210,211,756,1209,10000000,0
106,212,213,409,1209,10000000,0
107,214,215,1209,1353,10000000,0
108,216,217,1209,1341,10000000,0
109,218,219,833,1209,10000000,0
110,220,221,1124,1209,10000000,0
111,222,223,358,1209,10000000,0
112,224,225,464,1209,10000000,0
113,226,227,1,1209,10000000,0
114,228,229,555,1209,10000000,0
115,230,231,342,497,200000000,0
116,232,233,75,497,688542000,0
117,234,235,1108,1205,391572000,0
118,236,237,75,887,10000000,0
119,238,239,107,121,8589934590,0
120,240,241,105,107,8589934590,0
121,242,243,673,1133,10000000000,0
122,244,245,25,1183,10000000,0
123,246,247,342,1183,10000000,0
124,248,249,1183,1191,10000000,0
125,250,251,366,1183,10000000,0
126,252,253,861,1183,10000000,0
127,254,255,189,822,10000000,0
128,256,257,757,1226,10000000,0
129,258,259,757,1123,10000000,0
130,260,261,757,1269,10000000,0
131,262,263,757,1352,10000000,0
132,264,265,757,989,10000000,0
133,266,267,366,757,10000000,0
134,268,269,301,806,200000000,0
135,270,271,301,1127,200000000,0
136,272,273,285,301,200000000,0
137,274,275,835,1051,10000000,0
138,276,277,1051,1194,10000000,0
139,278,279,141,1051,10000000,0
140,280,281,825,1051,10000000,0
141,282,283,1051,1325,10000000,0
142,284,285,543,1051,10000000,0
143,286,287,1051,1252,10000000,0
144,288,289,685,1051,10000000,0
145,290,291,302,1051,10000000,0
146,292,293,367,823,40840000,0
147,294,295,367,580,3355442000,0
148,296,297,367,1252,1800000000,0
149,298,299,367,492,40000000,0
150,300,301,591,1092,600000000,0
151,302,303,134,256,10000000,0
152,304,305,256,366,10000000,0
153,306,307,256,399,10000000,0
154,308,309,243,1205,10000000,0
155,310,311,243,1313,10000000,0
156,312,313,689,1215,800000000,0
157,314,315,1056,1117,6000000000,0
158,316,317,55,267,1980000000,0
159,318,319,156,437,10000000,0
160,320,321,156,409,10000000,0
161,322,323,156,1226,10000000,0
162,324,325,833,1245,2073940000,0
163,326,327,201,821,10000000,0
164,328,329,242,1112,200000000,0
165,330,331,833,1112,19800000000,0
166,332,333,342,1112,10000002000,0
167,334,335,492,1112,594000000,0
168,336,337,466,1274,10000000,0
169,338,339,342,466,10000000,0
170,340,341,385,1205,11994934000,0
171,342,343,239,244,199998000,0
172,344,345,84,1058,87816000,0
173,346,347,279,366,10000000,0
174,348,349,279,714,10000000,0
175,350,351,279,906,10000000,0
176,352,353,279,399,10000000,0
177,354,355,279,1346,10000000,0
178,356,357,279,628,10000000,0
179,358,359,279,1103,10000000,0
180,360,361,325,1298,4942878000,0
181,362,363,272,541,10000000,0
182,364,365,74,1312,8000000000,0
183,366,367,594,922,10000000,0
184,368,369,731,1184,3000000000,0
185,370,371,807,1205,10000000,0
186,372,373,1105,1323,19800000000,0
187,374,375,812,1123,10000000,0
188,376,377,812,1299,10000000,0
189,378,379,198,812,10000000,0
190,380,381,812,1103,10000000,0
191,382,383,78,812,10000000,0
192,384,385,502,812,10000000,0
193,386,387,55,509,1980000000,0
194,388,389,51,1243,611676000,0
195,390,391,51,1269,3920000000,0
196,392,393,51,141,980000000,0
197,394,395,51,342,8589934590,0
198,396,397,51,366,196000000,0
199,398,399,51,447,980000000,0
200,400,401,51,580,980002000,0
201,402,403,408,1133,4000000000,0
202,404,405,96,862,10000000,0
203,406,407,557,1268,10000000,0
204,408,409,247,1268,10000000,0
205,410,411,366,1268,10000000,0
206,412,413,1255,1268,10000000,0
207,414,415,1226,1268,10000000,0
208,416,417,1103,1268,10000000,0
209,418,419,616,1268,10000000,0
210,420,421,739,1268,10000000,0
211,422,423,770,1268,10000000,0
212,424,425,813,1268,10000000,0
213,426,427,14,492,10000000,0
214,428,429,541,923,10000000,0
215,430,431,437,1360,10000000,0
216,432,433,719,1190,396000000,0
217,434,435,833,1001,1800000000,0
218,436,437,42,1056,1760000000,0
219,438,439,42,1205,1000000000,0
220,440,441,42,762,1200000000,0
221,442,443,237,1146,784000000,0
222,444,445,967,1354,10000000,0
223,446,447,830,967,10000000,0
224,448,449,619,946,2000000000,0
225,450,451,4,619,2000000000,0
226,452,453,476,619,1200000000,0
227,454,455,619,833,1200000000,0
228,456,457,619,1146,1200000000,0
229,458,459,912,1056,2000000000,0
230,460,461,1159,1205,10000000,0
231,462,463,165,755,934302000,0
232,464,465,1352,1358,1000000000,0
233,466,467,1306,1358,1000000000,0
234,468,469,705,1235,4950000000,0
235,470,471,538,1210,4000000000,0
236,472,473,538,1103,79200000,0
237,474,475,538,1290,120000000,0
238,476,477,148,312,480000000,0
239,478,479,312,492,732108000,0
240,480,481,97,312,60000000,0
241,482,483,312,1225,299364000,0
242,484,485,312,1161,200000000,0
243,486,487,312,948,400000000,0
244,488,489,312,361,599398000,0
245,490,491,312,1226,33554430000,0
246,492,493,312,1103,79200000,0
247,494,495,312,426,190000000,0
248,496,497,600,1103,79200000,0
249,498,499,885,902,277000000,0
250,500,501,150,885,198000000,0
251,502,503,885,1124,198000000,0
252,504,505,366,885,198000000,0
253,506,507,739,885,500000000,0
254,508,509,492,885,200000000,0
255,510,511,885,1190,198000000,0
256,512,513,885,991,198000000,0
257,514,515,175,885,33554430000,0
258,516,517,75,885,200000000,0
259,518,519,885,1103,204000000,0
260,520,521,753,885,1260000000,0
261,522,523,342,885,200000000,0
262,524,525,885,1154,2000000000,0
263,526,527,548,799,10000000,0
264,528,529,529,1123,10000000,0
265,530,531,75,1144,10000000,0
266,532,533,945,1289,10000000,0
267,534,535,342,945,10000000,0
