id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
0,0,1,158,1027,95483820,1000,1,1000,144,0,3542
1,0,0,1027,158,43921180,1000,1,1000,144,0,978
2,1,3,265,1027,12891104,1000,1,1000,144,0,2575
3,1,2,1027,265,2957208896,1000,1,1000,144,0,854
4,2,5,602,1027,9143032,1000,1,1000,144,0,365
5,2,4,1027,602,584956968,1000,1,1000,144,0,415
6,3,7,366,1027,9078,1000,1,1000,144,0,133
7,3,6,1027,366,99090922,1000,1,1000,144,0,1177
8,4,9,75,1027,21216093,1000,1,1000,144,0,906
9,4,8,1027,75,68024907,1000,1,1000,144,0,2375
10,5,11,151,1027,2362479,1000,1,1000,144,0,2589
11,5,10,1027,151,1050563521,1000,1,1000,144,0,943
12,6,13,492,1027,2081644,1000,1,1000,144,0,1649
13,6,12,1027,492,198018356,1000,1,1000,144,0,4601
14,7,15,613,1027,26349628,1000,1,1000,144,0,1969
15,7,14,1027,613,963750372,1000,1,1000,144,0,798
16,8,17,1027,1054,98779704,1000,1,1000,144,0,76
17,8,16,1054,1027,320296,1000,1,1000,144,0,150
18,9,19,1027,1226,16761020792,1000,1,1000,144,0,5396
19,9,18,1226,1027,16294208,1000,1,1000,144,0,2110
20,10,21,360,510,819953219,1000,1,1000,144,0,291
21,10,20,510,360,128574781,1000,1,1000,144,0,251
22,11,23,105,360,2965185,1000,1,1,144,0,369
23,11,22,360,105,1996934815,1000,1,1,144,0,1760
24,12,25,360,861,948489058,1000,1,1000,144,0,154
25,12,24,861,360,38942,1000,1,1000,144,0,28
26,13,27,360,1352,1414940874,1000,1,1000,144,0,1739
27,13,26,1352,360,5409126,1000,1,1000,144,0,522
28,14,29,238,974,1107065,145,17,21042,37,0,1
29,14,28,974,238,3992935,145,17,21042,37,0,0
30,15,31,75,866,1084825,1000,10,1000,14,0,375
31,15,30,866,75,4015175,1000,10,1000,14,0,1243
32,16,33,52,866,3583096,1000,10,1000,14,0,165
33,16,32,866,52,1516904,1000,10,1000,14,0,520
34,17,35,75,1037,8478032,990,9,1000,14,0,804
35,17,34,1037,75,187621968,990,9,1000,14,0,2350
36,18,37,162,405,4931354,1000,1,1000,144,0,350
37,18,36,405,162,168646,1000,1,1000,144,0,966
38,19,39,162,926,984322,1000,1,1000,144,0,376
39,19,38,926,162,4115678,1000,1,1000,144,0,481
40,20,41,162,753,814282,1000,1,1000,144,0,1782
41,20,40,753,162,4285718,1000,1,1000,144,0,1246
42,21,43,452,1103,272153644,1000,1,1000,144,0,2872
43,21,42,1103,452,717846356,1000,30,1000,144,0,709
44,22,45,289,568,8331313,1000,1,1000,144,0,277
45,22,44,568,289,1668687,1000,1,1000,144,0,932
46,23,47,568,833,2784690,1000,1,1000,144,0,598
47,23,46,833,568,2315310,1000,1,1000,144,0,295
48,24,49,399,463,4335077,1000,10,10,14,0,428
49,24,48,463,399,764923,1000,10,10,14,0,1094
50,25,51,112,1134,5000000,1000,1,1000,144,0,0
51,25,50,1134,112,5000000,1000,1,1000,144,0,0
52,26,53,697,1226,48374940,1000,100,1000,144,0,2403
53,26,52,1226,697,11725060,1000,100,1000,144,0,839
54,27,55,280,369,2405545450,1000,100,1000,144,0,2851
55,27,54,369,280,94554550,1000,100,1000,144,0,882
56,28,57,126,576,684554787,1000,10,1000,14,0,925
57,28,56,576,126,53673213,1000,10,1000,14,0,2602
58,29,59,744,1190,27256,1000,1,1000,144,0,1157
59,29,58,1190,744,5072744,1000,1,1000,144,0,393
60,30,61,104,829,16670250338,1000,1,1000,144,0,2159
61,30,60,829,104,16884179662,1000,1,1000,144,0,4474
62,31,63,829,1145,91808872,1000,1,1000,144,0,2415
63,31,62,1145,829,7291128,1000,1,1000,144,0,5610
64,32,65,653,829,153513388,1000,1,1000,144,0,3356
65,32,64,829,653,16623801612,1000,1,1000,144,0,937
66,33,67,707,829,47939087,1000,1,1000,144,0,1086
67,33,66,829,707,10238816913,1000,1,1000,144,0,537
68,34,69,152,829,172842,1000,1,1000,144,0,550
69,34,68,829,152,2969927158,1000,1,1000,144,0,1686
70,35,71,93,829,31672452,1000,1,1000,144,0,1676
71,35,70,829,93,16745642548,1000,1,1000,144,0,1096
72,36,73,149,244,105913580,1000,1,1,144,0,2709
73,36,72,244,149,96146420,1000,1,1,144,0,794
74,37,75,278,292,3893709,1000,10,1000,14,0,3954
75,37,74,292,278,486206291,1000,10,1000,14,0,929
76,38,77,292,604,127204420,1000,10,1000,14,0,159
77,38,76,604,292,295580,1000,10,1000,14,0,402
78,39,79,292,1252,2135661,1000,10,1000,14,0,1087
79,39,78,1252,292,26872339,1000,10,1000,14,0,295
80,40,81,292,467,8075310,1000,10,1000,14,0,1833
81,40,80,467,292,20932690,1000,10,1000,14,0,582
