budget_percent,unique_paths_controlled
0.01,30582
0.09,108898
0.17,273226
0.25,322053
0.34,350876
0.42,397609
0.5,418623
0.58,472523
0.66,502688
0.74,515720
0.82,532408
0.91,540937
0.99,548780
1.07,554603
1.15,562363
1.23,565456
1.31,570233
1.39,573401
1.48,616397
1.56,619353
1.64,626846
1.72,634417
1.8,634417
1.88,642446
1.96,645467
2.05,647666
2.13,661457
2.21,661457
2.29,665889
2.37,668845
2.45,675242
2.53,677106
2.62,682374
2.7,684416
2.78,688384
2.86,689945
2.94,697205
3.02,697205
3.1,699567
3.19,704632
3.27,704632
3.35,706779
3.43,712239
3.51,712239
3.59,716472
3.67,716472
3.76,718933
3.84,723706
3.92,723706
4.0,724353
